
11	3	3	11	1	21	3.008600	0.569544	
11	3	3	11	2	19	0.424629	0.011193	
11	3	1	21	2	6	-2.130846	0.277900	
12	5	3	24	2	25	-0.174583	0.001911	
12	5	3	24	1	28	2.402858	0.364192	
12	5	2	25	2	9	-0.314615	0.005465	
12	5	1	19	2	9	-2.100260	0.276588	
12	5	2	9	3	16	1.159339	0.083438	
13	3	1	12	3	2	1.410985	0.125579	
13	3	1	12	3	23	0.639445	0.025639	
13	3	1	22	2	6	-2.112482	0.275220	
14	3	1	14	3	6	0.908888	0.051978	
14	3	1	14	3	18	1.677224	0.177793	
14	3	1	21	2	7	-2.348661	0.337618	
15	3	1	10	3	30	-0.470220	0.013912	
15	3	1	10	3	13	2.537315	0.403679	
15	3	1	21	2	7	-3.038442	0.565050	
16	3	3	7	2	0	0.523772	0.016483	
16	3	1	20	2	7	-2.328882	0.331956	
16	3	1	20	3	1	2.412510	0.367123	
17	3	1	19	2	9	-2.113314	0.277249	
17	3	1	19	3	7	2.223692	0.310053	
17	3	2	9	2	14	0.817316	0.013677	
18	3	3	1	3	12	1.136783	0.040374	
18	3	1	16	2	8	-1.165881	0.084849	
18	3	1	16	3	12	2.235222	0.314369	
19	4	1	12	2	12	-0.292514	0.005405	
19	4	1	12	3	6	0.992630	0.061997	
19	4	1	26	3	28	1.146195	0.082869	
19	4	1	17	2	4	-2.100111	0.277512	
20	2	1	18	2	10	-2.666597	0.443866	
20	2	1	18	3	6	1.637257	0.168082	
21	4	2	19	3	15	0.877435	0.048274	
21	4	1	22	2	6	-2.168015	0.289880	
21	4	1	22	3	2	1.133923	0.080903	
21	4	2	6	3	2	0.674463	0.028736	
22	5	3	0	1	21	0.892671	0.049966	
22	5	1	10	2	14	-0.384802	0.009243	
22	5	1	10	3	8	1.146973	0.082981	
22	5	1	21	2	6	-2.047904	0.256687	
22	5	2	6	3	8	0.942851	0.055491	
23	3	3	11	3	6	0.969442	0.012466	
23	3	1	25	2	6	-1.584041	0.152243	
23	3	1	25	3	6	3.319947	0.668753	
24	3	3	22	1	28	2.101951	0.278688	
24	3	3	9	1	28	0.638709	0.025465	
24	3	1	21	2	7	-2.678279	0.439032	
25	6	3	15	1	15	1.000666	0.063286	
25	6	3	22	1	28	1.445157	0.131410	
25	6	3	22	3	0	0.819862	0.034091	
25	6	2	13	2	6	-1.109130	0.033365	
25	6	1	23	2	6	-2.632025	0.420324	
25	6	1	23	2	18	0.318621	0.006388	
26	3	3	28	1	27	0.782443	0.038674	
26	3	1	13	3	7	1.168309	0.085884	
26	3	1	21	2	6	-2.528876	0.391418	
27	2	3	0	1	17	2.056182	0.267080	
27	2	1	22	2	6	-3.018818	0.565739	
28	4	2	18	1	23	-0.257949	0.004187	
28	4	1	9	3	21	0.494963	0.015453	
28	4	1	23	2	8	-1.381045	0.115723	
28	4	1	23	3	14	1.980890	0.248001	
29	4	2	0	1	23	-1.401751	0.123941	
29	4	2	0	2	6	-0.677833	0.016133	
29	4	2	6	1	15	-1.282916	0.102174	
29	4	1	15	3	16	2.347174	0.348196	
30	3	1	22	2	6	-2.348511	0.340157	
30	3	1	22	3	19	0.767440	0.037150	
30	3	1	17	3	12	1.724746	0.187918	
31	5	1	24	3	19	1.623866	0.166331	
31	5	1	24	2	6	-2.514142	0.386870	
31	5	1	24	1	19	-1.513512	0.024594	
31	5	1	24	3	12	0.342859	0.007371	
31	5	2	14	3	12	-0.261355	0.004240	
32	4	1	23	2	6	-1.785310	0.195080	
32	4	1	23	3	12	2.036523	0.260962	
32	4	3	25	3	20	-0.033514	0.000023	
32	4	3	5	1	15	0.835380	0.044019	
33	5	1	24	3	13	1.373426	0.118983	
